doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-buyer-protection,data\docs\shopee-buyer-protection.md,Shopee Đảm Bảo là gì,https://help.shopee.vn/portal/4/article/79314,2026-08-03,not-stated,public-page
shopee-payment-faq,data\docs\shopee-payment-faq.md,Tổng hợp câu hỏi thường gặp về thanh toán Shopee,https://help.shopee.vn/portal/4/article/79526,2026-08-03,not-stated,public-page
shopee-privacy-policy,data\docs\shopee-privacy-policy.md,Chính sách bảo mật Shopee,https://help.shopee.vn/portal/4/article/77244,2026-08-03,not-stated,public-page
shopee-seller-listing,data\docs\shopee-seller-listing.md,Quy định về đăng bán sản phẩm trên Shopee,https://help.shopee.vn/portal/4/article/77246,2026-08-03,not-stated,public-page
shopee-shipping-policy,data\docs\shopee-shipping-policy.md,Chính sách vận chuyển Shopee,https://help.shopee.vn/portal/4/article/77250,2026-08-03,not-stated,public-page
tiki-privacy-policy,data\docs\tiki-privacy-policy.md,Chính sách bảo mật thông tin cá nhân Tiki,https://tiki.vn/thong-tin/privacy-policy,2026-08-03,not-stated,public-page
